Date,Close/Last,Volume,Open,High,Low
12/04/2017,$3.55,582304,$3.15,$3.775,$3.1
12/01/2017,$3.15,354847,$3.3,$3.4,$3.1
11/30/2017,$3.3,397567,$3.45,$3.55,$3.25
11/29/2017,$3.4,160233,$3.3,$3.45,$3.3
11/28/2017,$3.35,232176,$3.45,$3.45,$3.2
11/27/2017,$3.35,299697,$3.65,$3.65,$3.3
11/24/2017,$3.55,98426,$3.55,$3.65,$3.45
11/22/2017,$3.5,269861,$3.6,$3.7,$3.45
11/21/2017,$3.65,216764,$3.35,$3.65,$3.35
11/20/2017,$3.35,294358,$3.45,$3.495,$3.25
11/17/2017,$3.45,242149,$3.75,$3.8,$3.425
11/16/2017,$3.75,791988,$3.45,$3.9,$3.45
11/15/2017,$3.4,166544,$3.3,$3.45,$3.25
11/14/2017,$3.35,212758,$3.6,$3.6,$3.25
11/13/2017,$3.6,250026,$3.8,$3.85,$3.5
11/10/2017,$3.75,243736,$3.75,$3.8,$3.525
11/09/2017,$3.7,1353529,$4.65,$4.65,$3.575
11/08/2017,$5.2,336077,$5.15,$5.3,$5.1
11/07/2017,$5.2,135957,$5.15,$5.3,$5.105
11/06/2017,$5.2,164720,$5.1,$5.3,$5.05
11/03/2017,$5.1,116951,$5.1,$5.15,$5
11/02/2017,$5.05,132702,$5.05,$5.15,$4.99
11/01/2017,$5.15,189672,$5.45,$5.6,$5.05
10/31/2017,$5.35,144990,$5.25,$5.4,$5.15
10/30/2017,$5.25,147468,$5.45,$5.55,$5.2
10/27/2017,$5.45,167570,$5.5,$5.5,$5.25
10/26/2017,$5.55,145727,$5.75,$5.9,$5.5
10/25/2017,$5.75,151271,$6.2,$6.2,$5.75
10/24/2017,$6.25,101915,$6.2,$6.34,$6.2
10/23/2017,$6.25,151555,$6.4,$6.5,$6.175
10/20/2017,$6.4,103855,$6.35,$6.45,$6.275
10/19/2017,$6.3,138613,$6.3,$6.35,$6.2
10/18/2017,$6.3,109786,$6.5,$6.5726,$6.25
10/17/2017,$6.5,117714,$6.5,$6.7,$6.4
10/16/2017,$6.55,191661,$6.75,$6.75,$6.45
10/13/2017,$6.65,131213,$6.75,$6.85,$6.5
10/12/2017,$6.75,148767,$6.9,$7.1,$6.75
10/11/2017,$6.9,122032,$7,$7.2,$6.9
10/10/2017,$7,59285,$7.05,$7.15,$7
10/09/2017,$6.95,168999,$7.15,$7.4,$6.95
10/06/2017,$7.15,79479,$6.95,$7.3,$6.95
10/05/2017,$7.05,165948,$6.95,$7.2,$6.95
10/04/2017,$7,223966,$6.95,$7.05,$6.9
10/03/2017,$7,133017,$7.15,$7.2,$6.95
10/02/2017,$7.1,259649,$7.3,$7.45,$6.9
09/29/2017,$7.35,162564,$7.4,$7.5251,$7.1
09/28/2017,$7.45,91283,$7.8,$7.8,$7.4
09/27/2017,$7.8,118875,$7.8,$7.9,$7.65
